Application Date,Permit Status,Permit Type,Event Category,Event Sub-Category,Name of Event,Year-Month-App#,Event Start Date,Event End Date,Event Location - Park,Event Location - Neighborhood,Council District,Precinct,Organization,Attendance
01/26/2022 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Great Strides Seattle,S22MY052,05/15/2022 12:00:00 AM,05/15/2022 12:00:00 AM,,Queen Anne,7,Traffic;West,Cystic Fibrosis Foundation,425
01/28/2022 12:00:00 AM,Complete,Special Event,Athletic,Run/Walk,Nordstrom Beat The Bridge,S22MY054,05/14/2022 12:00:00 AM,05/14/2022 12:00:00 AM,,Montlake / Portage Bay;University District,3;4,North;Traffic,Fizz Events,6400
01/31/2022 12:00:00 AM,Complete,Special Event,Commercial,,5 de Mayo,S22MY055,05/05/2022 12:00:00 AM,05/05/2022 12:00:00 AM,,Green Lake,6,North,V&G Services Inc Tacos Guayamas,950
02/01/2022 12:00:00 AM,Complete,Special Event,Community,,Opening Day of Boating Season Parade,S22MY058,05/07/2022 12:00:00 AM,05/07/2022 12:00:00 AM,,Montlake / Portage Bay,3;4,East;Harbor;North;Traffic,Seattle Yacht Club,2400
02/09/2022 12:00:00 AM,Complete,Special Event,Commercial,,Pacific Crest Montessori School Spring ARTS Fair,S22MY064,05/06/2022 12:00:00 AM,05/06/2022 12:00:00 AM,,Fremont,6,North,Pacific Crest Montessori School,500
02/09/2022 12:00:00 AM,Cancelled,Special Event,Athletic,Run/Walk,Tiger Trails 5K,S22MY065,05/22/2022 12:00:00 AM,05/22/2022 12:00:00 AM,,Magnolia,7,Traffic;West,Catharine Blaine PTA,310
02/17/2022 12:00:00 AM,Complete,Special Event,Athletic,Cycling,Bike - N - Brews South End,S22MY070,05/22/2022 12:00:00 AM,05/22/2022 12:00:00 AM,,Duwamish / SODO;Georgetown,2,South,Cascade Bicycle Club,520
02/18/2022 12:00:00 AM,Complete,Special Event,Community,,University District Street Fair,S22MY073,05/21/2022 12:00:00 AM,05/22/2022 12:00:00 AM,,University District,4,North,Bold Hat Productions,40050
02/25/2022 12:00:00 AM,Complete,Special Event,Community,,Northwest Folklife Staging & Production [Street Use],S22MY076,05/20/2022 12:00:00 AM,06/02/2022 12:00:00 AM,Seattle Center,Queen Anne,7,West,Northwest Folklife,999
02/28/2022 12:00:00 AM,Complete,Special Event,Community,,Eritrean Independence Day Celebration,S22MY077,05/28/2022 12:00:00 AM,05/28/2022 12:00:00 AM,Seward Park,Seward Park,2,South,Eritrean Association in Greater Seattle,3175
03/02/2022 12:00:00 AM,Complete,Special Event,Athletic,Other,Ballard FC Home Games,S22MY079,05/21/2022 12:00:00 AM,07/17/2022 12:00:00 AM,,Interbay,7,West,Ballard FC,1260
03/02/2022 12:00:00 AM,Cancelled,Special Event,Athletic,Other,Ballard FC Home Game (5.30),S22MY080,05/30/2022 12:00:00 AM,05/30/2022 12:00:00 AM,,Interbay,7,West,Ballard FC,1260
03/11/2022 12:00:00 AM,Complete,Special Event,Community,,South Lake Union Saturday Market,S22MY099,05/07/2022 12:00:00 AM,09/24/2022 12:00:00 AM,,Cascade / Eastlake / South Lake Union,7,West,Northwest Marketplaces,2571
03/30/2022 12:00:00 AM,Complete,Special Event,Community,,Park Party 2022 - Occidental,S22MY139,05/03/2022 12:00:00 AM,08/30/2022 12:00:00 AM,Occidental Park,Pioneer Square,7,West,Downtown Seattle Association,
03/30/2022 12:00:00 AM,Complete,Special Event,Community,,Park Party 2022 - Westlake,S22MY140,05/05/2022 12:00:00 AM,08/25/2022 12:00:00 AM,Westlake Park,Downtown,7,West,Downtown Seattle Association,215
04/01/2022 12:00:00 AM,Issued,Special Event,Athletic,Other,CFC Charity Kickball Tournament,S22MY141,08/20/2022 12:00:00 AM,08/20/2022 12:00:00 AM,Woodland Park,Green Lake,6,North,CollinsWoerman,240
04/14/2022 12:00:00 AM,Complete,Special Event,Community,,Wallingford Farmers Market,S22MY149,05/25/2022 12:00:00 AM,09/28/2022 12:00:00 AM,OTHER,Wallingford,4,North,Seattle Farmers Market Association,633
