OBJECTID,COMPKEY,COMPTYPE,UNITID,UNITID2,UNITIDSORT,UNITDESC,STNAME_ORD,ONSTREET,XSTRLO,XSTRHI,ARTCLASS,ARTDESCRIPT,OWNER,STATUS,BLOCKNBR,SPEEDLIMIT,SEGDIR,ONEWAY,ONEWAYDIR,FLOW,SEGLENGTH,SURFACEWIDTH,SURFACETYPE_1,SURFACEDATE_1,SURFACETYPE_2,SURFACEDATE_2,INTRLO,DIRLO,INTKEYLO,INTRHI,DIRHI,INTKEYHI,GIS_MID_X,GIS_MID_Y,SGNDBKROUTE,NGHBRHDGRNWY,NATIONHWYSYS,STREETTYPE,MJTRK_STR_FLAG,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,TRANDESCRIPT,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,SLOPE_PCT,PVMTCATEGORY,PARKBOULEVARD,SHAPE_Length
23342,10745,68,07105,0780,071050780,GREENWOOD AVE N BETWEEN N 78TH ST AND N 79TH ST,GREENWOOD AVE N,GREENWOOD AVE N,N 78TH ST,N 79TH ST,2,Minor Arterial, ,INSVC,7800,25,N,N, , ,266,54,AC/PCC,2017/09/23 00:00:00+00,,,GREENWOOD AVE N AND N 78TH ST,N,24292,GREENWOOD AVE N AND N 79TH ST,S,24291,1265567.61681274,253883.82034403,Y,N,N,Urban Village Neighborhood,,95,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,2,ART,N,266.113925380235
23348,15549,68,12125,0190,121250190,N 45TH ST BETWEEN BURKE AVE N AND MERIDIAN AVE N,N 45TH ST,N 45TH ST,BURKE AVE N,MERIDIAN AVE N,2,Minor Arterial, ,INSVC,1900,25,E,N, , ,334,48,AC/PCC,2017/09/28 00:00:00+00,,,BURKE AVE N AND N 45TH ST,E,26786,MERIDIAN AVE N AND N 45TH ST,W,27188,1270541.36888184,244860.7188948,N,N,N,Urban Village Neighborhood,,66,0,2,MAJOR TRANSIT ROUTE,DISTRICT4, ,N,2,ART,N,333.818915477403
23352,19208,68,15115,0090,151150090,NW LEARY WAY BETWEEN LEARY WAY NW AND 11TH AVE NW,NW LEARY WAY,NW LEARY WAY,LEARY WAY NW,11TH AVE NW,1,Principal Arterial, ,INSVC,900,25,W,N, , ,134,54,PCC,2018/04/30 00:00:00+00,,,LEARY WAY NW AND NW LEARY WAY,W,25454,11TH AVE NW AND NW LEARY WAY,E,25455,1261663.79690474,245864.62551983,N,N,Y,Industrial Access,Y,67,0,3,MINOR TRANSIT ROUTE,DISTRICT6, ,N,0,ART,N,133.88962787038
23355,21705,68,17305,0440,173050440,SW ADMIRAL WAY BETWEEN 44TH AVE SW AND 45TH AVE SW,SW ADMIRAL WAY,SW ADMIRAL WAY,44TH AVE SW,45TH AVE SW,2,Minor Arterial, ,INSVC,4400,25,W,N, , ,341,48,AC/PCC,2017/10/23 00:00:00+00,,,44TH AVE SW AND SW ADMIRAL WAY,W,31152,45TH AVE SW AND SW ADMIRAL WAY,E,31153,1256607.87715556,215877.29576111,Y,N,N,Urban Village Neighborhood,,38,0,2,MAJOR TRANSIT ROUTE,DISTRICT1, ,N,1,ART,N,340.503126532374
23357,22749,68,18145,0040,181450040,SW ROXBURY ST BETWEEN OLSON PL SW AND 5TH AVE SW,SW ROXBURY ST,SW ROXBURY ST,OLSON PL SW,5TH AVE SW,1,Principal Arterial, ,INSVC,400,25,W,N, , ,363,46,PCC,2017/10/22 00:00:00+00,,,OLSON PL SW AND SW ROXBURY ST,W,34984,5TH AVE SW AND SW ROXBURY ST,E,34983,1267917.40971114,192335.905145,N,N,Y,Urban Center Connector,,76,0,2,MAJOR TRANSIT ROUTE,DISTRICT1, ,N,4,ART,N,363.390963024281
23362,2135,68,00565,0175,005650175,15TH AVE S BETWEEN S STATE ST AND S GRAND ST,15TH AVE S,15TH AVE S,S STATE ST,S GRAND ST,2,Minor Arterial, ,INSVC,1700,25,S,N, , ,291,32,PCC,2017/10/12 00:00:00+00,,,15TH AVE S AND S STATE ST,S,31235,15TH AVE S AND S GRAND ST,N,31238,1275107.94123851,217769.38485105,Y,N,N,Urban Village Neighborhood,,49,0,3,MINOR TRANSIT ROUTE,DISTRICT2, ,N,1,ART,N,290.924785421421
23363,2750,68,00955,0070,009550070,2ND AVE BETWEEN CHERRY ST AND COLUMBIA ST,2ND AVE,2ND AVE,CHERRY ST,COLUMBIA ST,1,Principal Arterial, ,INSVC,700,25,NW,Y,SE,T,306,54,PCC,2017/10/27 00:00:00+00,,,2ND AVE AND CHERRY ST,NW,30355,2ND AVE AND COLUMBIA ST,SE,29969,1270349.82923363,223700.34082513,Y,N,Y,Downtown,,66,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT7, ,N,4,ART,N,305.964223502072
23366,4509,68,02095,1360,020951360,3RD AVE NW BETWEEN NW 136TH ST AND NW 137TH ST,3RD AVE NW,3RD AVE NW,NW 136TH ST,NW 137TH ST,3,Collector Arterial, ,INSVC,13600,25,N,N, , ,173,21,AC/AC,2017/09/23 00:00:00+00,,,3RD AVE NW AND NW 136TH ST,N,35602,3RD AVE NW AND NW 137TH ST,S,35601,1264486.96490763,269460.28000799,N,N,N,Neighborhood Corridor,,76,0,3,MINOR TRANSIT ROUTE,DISTRICT5, ,N,1,ART,N,172.705358599405
23373,8981,68,05250,1020,052501020,AURORA AVE N BETWEEN N 102ND ST AND N 103RD S ST,AURORA AVE N,AURORA AVE N,N 102ND ST,N 103RD S ST,1,Principal Arterial,WSDOT,INSVC,10200,30,N,N, , ,132,0,,,,,AURORA AVE N AND N 102ND ST,N,37289,AURORA AVE N AND N 103RD S ST,S,37290,1268308.26807955,260108.3553904,N,N,N,Urban Village Main,Y,0,0,2,MAJOR TRANSIT ROUTE,DISTRICT5, ,N,0,ART,N,132.095428965703
23380,12353,68,09345,0170,093450170,RAINIER AVE S BETWEEN S MASSACHUSETTS ST AND S STATE ST,RAINIER AVE S,RAINIER AVE S,S MASSACHUSETTS ST,S STATE ST,1,Principal Arterial, ,INSVC,1700,25,SE,N, , ,283,52,AC/PCC,2017/10/11 00:00:00+00,,,RAINIER AVE S AND S MASSACHUSETTS ST,SE,31517,RAINIER AVE S AND S STATE ST,NW,31529,1277139.50866459,217986.77633928,N,N,Y,Urban Village Main,Y,51,0,1,PRINCIPAL TRANSIT ROUTE,DISTRICT3, ,N,1,ART,N,283.495461398891
